"","Crop","ADD","Year","X","Hect","Prodn","Prices","Yr2010_Year","Yr2010_X","Yr2010_Hect","Yr2010_Prodn","Yr2010_Prices","Qhat","Phat","SupplyElast","QhatoverSupplyElast","PhatbySupplyElast","SupplyPriceIndex","SupplyQuantityIndex","InverseSupplyQuantityIndex","SupplyShock"
"1","Beans","BLANTYRE",2010,53,38073,19023,194.308729924242,2010,53,38073,19023,194.308729924242,0,0,0.25,0,0,100,100,1,0
"2","Beans","BLANTYRE",2016,485,44563,22771,756.060119393939,2010,53,38073,19023,194.308729924242,0.197024654365768,2.89102496675633,0.25,0.788098617463071,0.722756241689082,217.606843870662,69.4831123172795,1.43919862920607,-0.525731587323314
"3","Beans","BLANTYRE",2019,629,47989,45196,766.601990971429,2010,53,38073,19023,194.308729924242,1.37586080008411,2.94527817288659,0.25,5.50344320033643,0.736319543221647,60.6644519119117,136.833154321112,0.730817034045168,0.639541256862461
"4","Beans","BLANTYRE",2014,341,43268,31081,544.942627211934,2010,53,38073,19023,194.308729924242,0.633864269568417,1.80451952634551,0.25,2.53545707827367,0.451129881586378,79.3255147567775,112.592559101758,0.888158158920809,0.182734387982039
"5","Beans","BLANTYRE",2015,413,44305,32275,604.96797398569,2010,53,38073,19023,194.308729924242,0.69663039478526,2.11343692185913,0.25,2.78652157914104,0.528359230464783,82.2241959219312,111.009922338043,0.900820376177585,0.168271164320477
"6","Beans","BLANTYRE",2017,557,45444,34603,720.391941838914,2010,53,38073,19023,194.308729924242,0.819008568574883,2.70746050432105,0.25,3.27603427429953,0.676865126080262,86.7032457294412,108.476736756216,0.921856639407705,0.142143442494621
"7","Beans","BLANTYRE",2011,125,38975,24397,221.860037110523,2010,53,38073,19023,194.308729924242,0.28250013141986,0.141791401740018,0.25,1.13000052567944,0.0354478504350045,53.6052168989866,123.859461476603,0.807366662246387,0.247052280984856
"8","Beans","BLANTYRE",2013,269,42319,28834,388.531984988777,2010,53,38073,19023,194.308729924242,0.515744099248278,0.999560107980011,0.25,2.06297639699311,0.249890026995003,65.2816035390594,121.270197098255,0.824604910297771,0.265854072253276
"9","Beans","BLANTYRE",2012,197,40417,21672,319.000976992144,2010,53,38073,19023,194.308729924242,0.139252483835357,0.641722310245745,0.25,0.557009935341429,0.160430577561436,105.440708693085,98.1749796898162,1.01858946460646,-0.0211780937260789
"10","Beans","KARONGA",2014,293,14255,11346,334.484435664983,2010,5,12119,10224,148.248475,0.109741784037559,1.25624199955502,0.25,0.438967136150235,0.314060499888755,156.795936673807,84.4513463521281,1.18411374500816,-0.204318715851197
"11","Beans","KARONGA",2019,581,18868,18021,511.020590275,2010,5,12119,10224,148.248475,0.762617370892019,2.44705461742523,0.25,3.05046948356808,0.611763654356308,85.1025944377369,109.359543263554,0.914414938246429,0.15085371653571
"12","Beans","KARONGA",2012,149,13055,12192,221.573919444444,2010,5,12119,10224,148.248475,0.192488262910798,0.494611795800558,0.25,0.769953051643192,0.123652948950139,84.4435842189705,106.126029751889,0.942275898135353,0.0688353139606588
"13","Beans","KARONGA",2017,509,15868,13719,520.378661261458,2010,5,12119,10224,148.248475,0.341842723004695,2.51017884846004,0.25,1.36737089201878,0.627544712115011,148.273295929001,82.4458285549007,1.21291764244215,-0.285701989110316
"14","Beans","KARONGA",2011,77,12390,11137,153.431984722222,2010,5,12119,10224,148.248475,0.0892996870109546,0.0349650121002728,0.25,0.357198748043818,0.0087412530250682,76.2574393464485,107.986035442122,0.926045664984134,0.0805584339858866
"15","Beans","KARONGA",2013,221,13599,12983,301.165117676768,2010,5,12119,10224,148.248475,0.26985524256651,1.031488807401,0.25,1.07942097026604,0.257872201850251,97.6949274076569,100.952643734287,0.990563459271121,0.0119830407162591
"16","Beans","KARONGA",2016,437,15516,12619,494.882138333333,2010,5,12119,10224,148.248475,0.234252738654147,2.33819378805301,0.25,0.937010954616588,0.584548447013254,172.337372697708,77.8930263054193,1.28381197577173,-0.350295708359107
"17","Beans","KARONGA",2015,365,14531,11354,385.339423148148,2010,5,12119,10224,148.248475,0.110524256651017,1.59928085700813,0.25,0.442097026604069,0.399820214252031,180.243132678046,79.3333490504283,1.26050395195638,-0.289295957601014
"18","Beans","KARONGA",2010,5,12119,10224,148.248475,2010,5,12119,10224,148.248475,0,0,0.25,0,0,100,100,1,0
"19","Beans","KASUNGU",2014,309,85472,54053,445.603928030303,2010,21,83401,46970,200.237892030423,0.150798381945923,1.22537264806303,0.25,0.603193527783692,0.306343162015759,138.808734534967,88.0931148420587,1.13516249458643,-0.155544780069836
"20","Beans","KASUNGU",2019,597,95622,50548,733.758174954545,2010,21,83401,46970,200.237892030423,0.0761762827336598,2.66443217871601,0.25,0.304705130934639,0.666108044679003,280.862862560444,64.5922265468083,1.54817391110574,-0.589931761945343
"21","Beans","KASUNGU",2012,165,86723,53961,294.236838323713,2010,21,83401,46970,200.237892030423,0.148839684905259,0.469436355627477,0.25,0.595358739621035,0.117359088906869,92.1069549521213,102.81741083157,0.97259792083089,0.0314805959983894
"22","Beans","KASUNGU",2017,525,87540,50505,669.51486275946,2010,21,83401,46970,200.237892030423,0.0752608047690015,2.34359723811783,0.25,0.301043219076006,0.585899309529458,256.993556331852,67.8013287670852,1.4748973481556,-0.510638504760457
"23","Beans","KASUNGU",2011,93,84127,52571,213.931755233386,2010,21,83401,46970,200.237892030423,0.119246327443049,0.0683879712481276,0.25,0.476985309772195,0.0170969928120319,72.3357208889852,110.043224525578,0.908733821924277,0.102149334631017
"24","Beans","KASUNGU",2013,237,81250,50971,367.366108164983,2010,21,83401,46970,200.237892030423,0.0851820310836704,0.83464829977918,0.25,0.340728124334682,0.208662074944795,136.839696764741,89.7837413433557,1.11378740185904,-0.123480043861124
"25","Beans","KASUNGU",2016,453,86616,39270,677.865817901235,2010,21,83401,46970,200.237892030423,-0.163934426229508,2.38530240718996,0.25,-0.655737704918033,0.596325601797489,983.349746850416,52.3743760564303,1.90933062175778,-0.760260028026997
"26","Beans","KASUNGU",2015,381,88399,46955,502.449067612943,2010,21,83401,46970,200.237892030423,-0.000319352778369172,1.50926067248352,0.25,-0.00127741111347669,0.37731516812088,251.247012974954,72.5818367763662,1.37775515805852,-0.377634520899249
"27","Beans","KASUNGU",2010,21,83401,46970,200.237892030423,2010,21,83401,46970,200.237892030423,0,0,0.25,0,0,100,100,1,0
"28","Beans","LILONGWE",2019,605,2394,2280,779.4382211,2010,29,2942,2798,169.632643093885,-0.185132237312366,3.59485985058082,0.25,-0.740528949249464,0.898714962645206,1770.85645481063,42.9168031389186,2.33008967784267,-1.08384719995757
"29","Beans","LILONGWE",2017,533,2355,2081,715.10232827621,2010,29,2942,2798,169.632643093885,-0.256254467476769,3.21559385760692,0.25,-1.02501786990708,0.803898464401731,-16850.3308765488,41.2298999749909,2.42542426881117,-1.0601529318785
"30","Beans","LILONGWE",2014,317,0,0,459.71506460588,2010,29,2942,2798,169.632643093885,-1,1.71006249871049,0.25,-4,0.427515624677624,-90.3354166236831,0,Inf,NA
